bill 已知	账单法案
leading 已知	翻译出错，请更新
master 已知	翻译出错，请更新
mistress 已知	翻译出错，请更新
mountain 已知	翻译出错，请更新
parted 已知	翻译出错，请更新
property 已知	翻译出错，请更新
reputation 已知	翻译出错，请更新
risk 已知	翻译出错，请更新
river 已知	翻译出错，请更新
shoot 已知	翻译出错，请更新
shot 已知	翻译出错，请更新
slow 已知	翻译出错，请更新
sofa 已知	翻译出错，请更新
strongly 已知	翻译出错，请更新
surely 已知	当然
today 已知	翻译出错，请更新
trying 已知	翻译出错，请更新
yesterday 已知	翻译出错，请更新
Bar 已知	翻译出错，请更新
Christmas 已知	翻译出错，请更新
Downing 已知	翻译出错，请更新
Goodbye 已知	翻译出错，请更新
Great 已知	翻译出错，请更新
Hes 已知	翻译出错，请更新
Queen 已知	翻译出错，请更新
Upon 已知	翻译出错，请更新
Whig 已知	翻译出错，请更新
air 已知	翻译出错，请更新
avoid 已知	翻译出错，请更新
becomes 已知	翻译出错，请更新
bitter 已知	翻译出错，请更新
bore 已知	翻译出错，请更新
brow 已知	翻译出错，请更新
clearly 已知	翻译出错，请更新
conviction 已知	翻译出错，请更新
deeply 已知	翻译出错，请更新
demanded 已知	翻译出错，请更新
distance 已知	翻译出错，请更新
ear 已知	翻译出错，请更新
earn 已知	翻译出错，请更新
eat 已知	翻译出错，请更新
eleven 已知	翻译出错，请更新
fellows 已知	翻译出错，请更新
hall 已知	翻译出错，请更新
houses 已知	翻译出错，请更新
latter 已知	翻译出错，请更新
loud 已知	翻译出错，请更新
meantime 已知	翻译出错，请更新
minds 已知	翻译出错，请更新
mistake 已知	翻译出错，请更新
notice 已知	翻译出错，请更新
number 已知	翻译出错，请更新
ones 已知	翻译出错，请更新
opinions 已知	翻译出错，请更新
paper 已知	翻译出错，请更新
potted 已知	翻译出错，请更新
promotion 已知	翻译出错，请更新
punctual 已知	翻译出错，请更新
quiet 已知	翻译出错，请更新
rank 已知	翻译出错，请更新
reasons 已知	翻译出错，请更新
request 已知	翻译出错，请更新
resignation 已知	翻译出错，请更新
romance 已知	翻译出错，请更新
rough 已知	翻译出错，请更新
shake 已知	翻译出错，请更新
showing 已知	显示
smiling 已知	翻译出错，请更新
somebody 已知	翻译出错，请更新
somewhere 已知	翻译出错，请更新
spent 已知	翻译出错，请更新
surprise 已知	翻译出错，请更新
swear 已知	翻译出错，请更新
temper 已知	翻译出错，请更新
tenantright 已知	翻译出错，请更新
thirty 已知	翻译出错，请更新
tidings 已知	翻译出错，请更新
treated 已知	翻译出错，请更新
triumph 已知	翻译出错，请更新
upstairs 已知	翻译出错，请更新
welfare 已知	翻译出错，请更新
window 已知	翻译出错，请更新
wise 已知	翻译出错，请更新
won 已知	翻译出错，请更新
wouldnt 已知	不会
youth 已知	翻译出错，请更新
Bunces 已知	翻译出错，请更新
Effinghams 已知	翻译出错，请更新
February 已知	翻译出错，请更新
Greshams 已知	翻译出错，请更新
Lincolns 已知	翻译出错，请更新
Nay 已知	翻译出错，请更新
accused 已知	翻译出错，请更新
action 已知	翻译出错，请更新
admitted 已知	翻译出错，请更新
afford 已知	翻译出错，请更新
arguments 已知	翻译出错，请更新
arrival 已知	翻译出错，请更新
assure 已知	翻译出错，请更新
blood 已知	翻译出错，请更新
blushed 已知	翻译出错，请更新
bringing 已知	翻译出错，请更新
cab 已知	翻译出错，请更新
charming 已知	翻译出错，请更新
choice 已知	翻译出错，请更新
closely 已知	翻译出错，请更新
colour 已知	翻译出错，请更新
companion 已知	翻译出错，请更新
conscious 已知	翻译出错，请更新
considerable 已知	翻译出错，请更新
countenance 已知	翻译出错，请更新
d 已知	翻译出错，请更新
delight 已知	翻译出错，请更新
dislike 已知	翻译出错，请更新
disposed 已知	翻译出错，请更新
dress 已知	翻译出错，请更新
duke 已知	公爵
enemies 已知	翻译出错，请更新
excellent 已知	翻译出错，请更新
excitement 已知	翻译出错，请更新
fast 已知	翻译出错，请更新
feared 已知	翻译出错，请更新
follows 已知	翻译出错，请更新
hot 已知	翻译出错，请更新
importance 已知	翻译出错，请更新
injury 已知	翻译出错，请更新
inn 已知	翻译出错，请更新
instance 已知	翻译出错，请更新
keeping 已知	翻译出错，请更新
knowledge 已知	翻译出错，请更新
land 已知	翻译出错，请更新
laugh 已知	翻译出错，请更新
lives 已知	翻译出错，请更新
longed 已知	翻译出错，请更新
memory 已知	翻译出错，请更新
mentioned 已知	翻译出错，请更新
merely 已知	翻译出错，请更新
miles 已知	翻译出错，请更新
nearer 已知	翻译出错，请更新
neck 已知	翻译出错，请更新
nephew 已知	翻译出错，请更新
ourselves 已知	翻译出错，请更新
perfectly 已知	翻译出错，请更新
plan 已知	翻译出错，请更新
porter 已知	翻译出错，请更新
prospect 已知	翻译出错，请更新
pupil 已知	翻译出错，请更新
reconciled 已知	翻译出错，请更新
satisfied 已知	翻译出错，请更新
slightest 已知	翻译出错，请更新
soul 已知	翻译出错，请更新
spend 已知	翻译出错，请更新
spring 已知	翻译出错，请更新
statement 已知	翻译出错，请更新
stopped 已知	翻译出错，请更新
study 已知	翻译出错，请更新
sudden 已知	翻译出错，请更新
taught 已知	翻译出错，请更新
tears 已知	翻译出错，请更新
usual 已知	翻译出错，请更新
uttered 已知	翻译出错，请更新
votes 已知	翻译出错，请更新
whisper 已知	翻译出错，请更新
whispered 已知	翻译出错，请更新
wisdom 已知	翻译出错，请更新
worked 已知	翻译出错，请更新
working 已知	翻译出错，请更新
Bull 已知	翻译出错，请更新
Colonial 已知	翻译出错，请更新
Conservative 已知	翻译出错，请更新
Id 已知	翻译出错，请更新
Macnuthrie 已知	翻译出错，请更新
Marie 已知	翻译出错，请更新
Matching 已知	翻译出错，请更新
Radical 已知	翻译出错，请更新
Should 已知	翻译出错，请更新
addressing 已知	翻译出错，请更新
appeared 已知	翻译出错，请更新
assurance 已知	翻译出错，请更新
belief 已知	翻译出错，请更新
belonged 已知	翻译出错，请更新
benches 已知	翻译出错，请更新
blue 已知	翻译出错，请更新
breast 已知	翻译出错，请更新
charge 已知	翻译出错，请更新
charm 已知	翻译出错，请更新
colonies 已知	翻译出错，请更新
couldnt 已知	翻译出错，请更新
couple 已知	翻译出错，请更新
credit 已知	翻译出错，请更新
crowded 已知	翻译出错，请更新
decided 已知	翻译出错，请更新
declaring 已知	翻译出错，请更新
decline 已知	翻译出错，请更新
demand 已知	翻译出错，请更新
devil 已知	翻译出错，请更新
disappointed 已知	翻译出错，请更新
discussion 已知	翻译出错，请更新
doctors 已知	翻译出错，请更新
drink 已知	翻译出错，请更新
eager 已知	翻译出错，请更新
easily 已知	翻译出错，请更新
expense 已知	翻译出错，请更新
fighting 已知	翻译出错，请更新
former 已知	翻译出错，请更新
franchise 已知	翻译出错，请更新
front 已知	翻译出错，请更新
garden 已知	花园
gratified 已知	翻译出错，请更新
grouse 已知	翻译出错，请更新
happiness 已知	翻译出错，请更新
heir 已知	翻译出错，请更新
higher 已知	翻译出错，请更新
history 已知	翻译出错，请更新
idle 已知	翻译出错，请更新
important 已知	翻译出错，请更新
intimacy 已知	翻译出错，请更新
judgment 已知	翻译出错，请更新
junior 已知	翻译出错，请更新
light 已知	翻译出错，请更新
list 已知	翻译出错，请更新
lordship 已知	翻译出错，请更新
low 已知	翻译出错，请更新
manage 已知	翻译出错，请更新
marrying 已知	翻译出错，请更新
ministers 已知	部长
obedience 已知	翻译出错，请更新
owed 已知	翻译出错，请更新
partly 已知	翻译出错，请更新
path 已知	翻译出错，请更新
peers 已知	翻译出错，请更新
plenty 已知	翻译出错，请更新
probable 已知	翻译出错，请更新
reform 已知	改革改良
representative 已知	翻译出错，请更新
resolving 已知	翻译出错，请更新
riding 已知	翻译出错，请更新
season 已知	翻译出错，请更新
serious 已知	翻译出错，请更新
serve 已知	翻译出错，请更新
shant 已知	翻译出错，请更新
slight 已知	翻译出错，请更新
steady 已知	翻译出错，请更新
stiff 已知	翻译出错，请更新
subjects 已知	翻译出错，请更新
throat 已知	翻译出错，请更新
tonight 已知	翻译出错，请更新
trade 已知	翻译出错，请更新
useless 已知	翻译出错，请更新
violence 已知	翻译出错，请更新
weeks 已知	翻译出错，请更新
white 已知	白色
wound 已知	翻译出错，请更新
youve 已知	翻译出错，请更新
Blood 已知	翻译出错，请更新
Brookss 已知	翻译出错，请更新
Conservatives 已知	翻译出错，请更新
Duchy 已知	翻译出错，请更新
Gustavus 已知	翻译出错，请更新
Has 已知	翻译出错，请更新
Papa 已知	翻译出错，请更新
Saturday 已知	翻译出错，请更新
Violets 已知	翻译出错，请更新
Whatever 已知	翻译出错，请更新
absurd 已知	翻译出错，请更新
according 已知	翻译出错，请更新
acquaintance 已知	翻译出错，请更新
armchair 已知	翻译出错，请更新
arrived 已知	翻译出错，请更新
assent 已知	翻译出错，请更新
awkward 已知	翻译出错，请更新
beaten 已知	翻译出错，请更新
caught 已知	翻译出错，请更新
charms 已知	翻译出错，请更新
conscience 已知	翻译出错，请更新
consented 已知	翻译出错，请更新
control 已知	翻译出错，请更新
counsel 已知	翻译出错，请更新
creature 已知	翻译出错，请更新
dared 已知	翻译出错，请更新
dead 已知	翻译出错，请更新
degree 已知	翻译出错，请更新
degrees 已知	翻译出错，请更新
desirable 已知	翻译出错，请更新
despise 已知	翻译出错，请更新
dining 已知	翻译出错，请更新
direction 已知	翻译出错，请更新
dog 已知	翻译出错，请更新
endeavoured 已知	翻译出错，请更新
entirely 已知	翻译出错，请更新
faith 已知	翻译出错，请更新
fate 已知	翻译出错，请更新
filled 已知	翻译出错，请更新
finding 已知	翻译出错，请更新
fingers 已知	翻译出错，请更新
follow 已知	翻译出错，请更新
forced 已知	翻译出错，请更新
forgot 已知	翻译出错，请更新
friendly 已知	翻译出错，请更新
harm 已知	翻译出错，请更新
heros 已知	翻译出错，请更新
hers 已知	翻译出错，请更新
holding 已知	翻译出错，请更新
host 已知	翻译出错，请更新
hounds 已知	翻译出错，请更新
inclined 已知	翻译出错，请更新
information 已知	翻译出错，请更新
justify 已知	翻译出错，请更新
killed 已知	翻译出错，请更新
labour 已知	翻译出错，请更新
